id,text
1,We need much stronger climate action from the government.
2,Climate policies are going way too far and hurt ordinary people.
3,I support higher carbon taxes if the revenue is returned to citizens.
4,Climate change is exaggerated and not our biggest problem.
5,Investing in renewable energy is crucial for our future.
6,I am tired of paying more for energy because of climate rules.
7,Climate protection should be a top political priority.
8,We should slow down climate policies until the economy recovers.
9,Switching to green jobs can create new opportunities for workers.
10,I do not really care about climate politics either way.
11,Public transport should be expanded to reduce car emissions.
12,Electric cars are overrated and too expensive for most people.
13,Subsidies for oil and gas companies should be phased out.
14,Climate targets for 2030 are unrealistic and will fail.
15,I am willing to change my lifestyle to protect the climate.
16,Businesses need clear and stable rules on climate policy.
17,Climate activism on the streets is disruptive and unhelpful.
18,Schools should teach more about climate science and solutions.
19,Rural areas are unfairly burdened by climate regulations.
20,Climate change worries me when I think about my future.
21,Politicians talk about climate but never deliver real change.
22,Local communities should have a say in wind farm projects.
23,Climate policy should focus more on social justice.
24,We are moving too fast with banning combustion engines.
25,Climate change is mainly caused by human activities.
26,Media coverage about climate is too alarmist.
27,Green technologies can make our industry more competitive.
28,People with low incomes should be protected from higher energy prices.
29,I feel overwhelmed by the constant news about climate crises.
30,International cooperation is essential to solve climate change.
31,My individual actions do not matter much for the climate.
32,Climate protests have pushed politics in the right direction.
33,Farmers are unfairly blamed for environmental problems.
34,We should stop building new highways and airports.
35,Citizens should get direct payments for saving energy.
36,Climate policy often ignores the needs of small businesses.
37,I try to reduce meat consumption for climate reasons.
38,Nuclear power should stay in the energy mix.
39,Climate deadlines like 1.5 degrees feel abstract to me.
40,Companies should report their emissions transparently.
41,Stronger climate policies will create innovation in the long run.
42,I am skeptical that other countries will follow our climate lead.
43,Cities should be redesigned to be more bike friendly.
44,Climate change is already affecting the weather where I live.
45,It is unfair to ask young people to sacrifice more for the climate.
46,Carbon pricing is more efficient than complex regulations.
47,Governments should invest more in climate adaptation.
48,I feel guilty when I fly for holidays.
49,Some climate measures are symbolic and do not change much.
50,Rich countries should pay more for global climate damage.
51,I think we still have enough time to deal with climate change.
52,Energy companies should be forced to invest in renewables.
53,Climate policy should be guided by scientific evidence.
54,I do not trust the numbers given in climate reports.
55,Home insulation programs are a good way to cut emissions.
56,Closing coal plants too fast will cost many jobs.
57,I support banning short-haul flights where trains are available.
58,People around me rarely talk about climate politics.
59,Climate-friendly products are often too expensive in supermarkets.
60,Young people are more serious about climate than older generations.
61,I would join a citizens assembly on climate if invited.
62,Climate policy should not depend on election cycles.
63,Technology alone will not be enough to stop climate change.
64,I think climate change will not really affect my personal life.
65,Governments should stop approving new fossil fuel projects.
66,Public investments should be screened for climate impacts.
67,Climate activists sometimes demand unrealistic goals.
68,I prefer gradual climate measures over radical changes.
69,Heatwaves in recent years made me think more about climate.
70,Energy efficiency standards for buildings should be stricter.
71,Climate policy should also address global inequalities.
72,I do not feel informed enough to judge climate policies.
73,Companies use greenwashing instead of real climate action.
74,Climate migration will become a big political issue.
75,Raising fuel prices is the wrong way to protect the climate.
76,Citizens should be consulted before big climate projects.
77,I support stricter rules for climate-related advertising.
78,Climate change makes me feel anxious about having children.
79,Government should support workers who lose jobs in fossil industries.
80,I believe innovation will solve most climate problems.
81,Coal should stay in the energy mix for now.
82,I try to vote for parties with clear climate plans.
83,Climate targets should be legally binding and enforceable.
84,I feel powerless when I look at global emission trends.
85,Companies that pollute heavily should pay higher taxes.
86,We talk too much about climate and not enough about jobs.
87,Climate-related disasters in other countries affect how I see politics.
88,I think climate and economic growth can go together.
89,Climate policies are designed by people who do not understand everyday life.
90,International climate agreements are mostly empty promises.
91,I am proud when my city invests in green projects.
92,Climate policy should be coordinated across all ministries.
93,I feel pressured by social media to act perfectly on climate issues.
94,Extreme weather events make me take climate change more seriously.
95,Climate policy should also encourage local energy cooperatives.
96,I am confused by all the different climate scenarios.
97,We should focus more on protecting forests and oceans.
98,Climate debates are too polarised between activists and deniers.
99,I would pay a bit more rent for a low-energy apartment.
100,Climate change often feels far away in my daily life.
